country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
ESP,Spain,ARBON 2,WRI1006201,56.040000000000006,43.4486,-6.7053,Hydro,,,,1968.0,VIESGO GENERACION  S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,153.77852264646017
ESP,Spain,ARCOS DE LA FRONTERA GRUPO 1,WRI1006203,1585.3899999999999,36.6721,-5.8164,Gas,,,,2005.0,IBERDROLA GENERACION  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,2865.00741270433
ESP,Spain,ARONA 1  GAS 1,WRI1006207,43.2,28.0996,-16.6810,Oil,,,,2003.0,UNION ELECTRICA DE CANARIAS GENERACION  S.A.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,130.7199929028638
ESP,Spain,ARRUBAL GRUPO 1,WRI1006210,784.7,42.4194,-2.2511,Gas,,,,2005.0,CONTOUR GLOBAL LA RIOJA  S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,1418.0556940242388
ESP,Spain,ARTIES 1,WRI1006212,67.52,41.7980,1.9543,Hydro,,,,1955.0,ENDESA GENERACION S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,185.28061829209474
ESP,Spain,ASCO GR,WRI1006213,1990.5,41.2008,0.5679,Nuclear,,,,1983.0,ENDESA GENERACION S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,16020.314786673147
ESP,Spain,ASTE 1A,WRI1006214,99.8,39.1710,-3.2666,Solar,,,,2012.0,ARIES SOLAR TERMOELECTRICA  S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,671.2695166746768
ESP,Spain,ASTEXOL-2,WRI1006215,49.9,38.8120,-7.0587,Solar,,,,2012.0,DIOXIPE SOLAR  S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,335.6347583373384
ESP,Spain,AZULIBER,WRI1006221,17763,40.0667,-0.2000,Gas,,,,,AZULIBER 1 S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,32.10006791506633
ESP,Spain,AZUTAN 2,WRI1006222,198.01,39.7799,-5.0876,Hydro,,,,1970.0,IBERDROLA GENERACION  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,WRI,,,,,,543.3562681874656
ESP,Spain,BAHIA DE ALGECIRAS I,WRI1006223,731.0,36.1829,-5.3905,Gas,,,,1970.0,VIESGO GENERACION  S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,1321.0127594389173
ESP,Spain,BARAZAR 1,WRI1006226,82.7,43.1000,-2.7500,Hydro,,,,1957.0,IBERDROLA GENERACION  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,226.9358283879774
ESP,Spain,BARCENA GR 1,WRI1006228,61.15,43.1258,-4.0566,Hydro,,,,1959.0,ENDESA GENERACION S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,167.8007969277487
ESP,Spain,BARRADOS,WRI1006229,15.88,42.7333,0.7167,Hydro,,,,1956.0,ENDESA GENERACION S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,43.57606958647015
ESP,Spain,BARRANCO DE TIRAJANA 7  VAPOR 3 (CC1),WRI1006230,646.26,27.8045,-15.4387,Oil,Gas,,,2008.0,UNION ELECTRICA DE CANARIAS GENERACION  S.A.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,WRI,,,,,,1955.5347827177022
ESP,Spain,BELESAR GRUPO 2,WRI1006246,331.01,42.6263,-7.7135,Hydro,,,,1963.0,GAS NATURAL FENOSA GENERACION  S.L.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,WRI,,,,,,908.3195713990858
ESP,Spain,BEMBEZAR,WRI1006247,14.86,37.8333,-5.2333,Hydro,,,,1962.0,ENDESA GENERACION S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,40.77710290018554
ESP,Spain,BENAGEBER 2,WRI1006248,14.91,39.7167,-1.1000,Hydro,,,,1996.0,IBERDROLA RENOVABLES ENERGIA  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,40.91430714951322
ESP,Spain,BESOS  GRUPO 5,WRI1006249,1670.81,41.4196,2.2294,Gas,,,,2010.0,ENDESA GENERACION S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,3019.372542541912
ESP,Spain,BIESCAS II 1,WRI1006251,61.4,42.6290,-0.3214,Hydro,,,,1969.0,CORPORACION ACCIONA HIDRAULICA  S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,168.48681817438708
ESP,Spain,BOINERSA,WRI1006265,24.6,42.6500,-8.9000,Oil,,,,2011.0,BOIRO ENERGIA  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,74.43777373635298
ESP,Spain,BOLARQUE I GRUPO 1,WRI1006266,27.939999999999998,40.4190,-2.9226,Hydro,,,,1954.0,GAS NATURAL FENOSA GENERACION  S.L.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,76.66973452430578
ESP,Spain,BOLARQUE II GRUPO 1,WRI1006267,215.0,40.3640,-2.8289,Hydro,,,,1973.0,GAS NATURAL FENOSA GENERACION  S.L.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,WRI,,,,,,589.9782721090103
ESP,Spain,BUENDIA GRUPO 1,WRI1006273,54.449999999999996,40.3664,-2.7565,Hydro,,,,1956.0,GAS NATURAL FENOSA GENERACION  S.L.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,149.41542751784002
ESP,Spain,BURGUILLO GRUPO 1,WRI1006274,61.949999999999996,40.4153,-4.5016,Hydro,,,,1970.0,GAS NATURAL FENOSA GENERACION  S.L.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,169.99606491699154
ESP,Spain,C.H. ARNOYA,WRI1006277,10.0,42.8878,-8.9567,Hydro,,,,2005.0,HIDROELECTRICA DEL GIESTA SRL,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,27.44084986553536
ESP,Spain,C.H. EN ALARCON,WRI1006278,15.89,39.5500,-2.0833,Hydro,,,,2006.0,CIENER  S.A.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,43.60351043633569
ESP,Spain,C.H. MILLARES II GRUPO 1,WRI1006280,70.17,39.2500,-0.7667,Hydro,,,,2003.0,IBERDROLA GENERACION  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,192.5524435064616
ESP,Spain,C.H. RIALB 2.,WRI1006282,24774,41.9753,1.2561,Hydro,,,,2007.0,SALTOS Y CENTRALES DE CATALUNYA  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,67.9819614568773
ESP,Spain,C.H. SAHECHORES,WRI1006283,20216,42.6563,-5.1753,Hydro,,,,2007.0,CONFEDERACION HIDROGRAFICA DEL DUERO,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,55.474422088166286
ESP,Spain,CALDES 2,WRI1006288,32.48,42.5046,0.8006,Hydro,,,,1959.0,ENDESA GENERACION S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,89.12788036325883
ESP,Spain,CAMARASA II 1,WRI1006289,58.650000000000006,41.8749,0.8781,Hydro,,,,1989.0,ENDESA GENERACION S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,160.9405844613649
